text,true_label,pred_naive_bayes,pred_logistic_regression,pred_svm
putus anis baswedan israel hormat damai dunia,threat,normal,insult,normal
cari ilmu negri cina agama kenpa agama suruh cari ilmu negri arab karnea pki seungguh jubah janggut suka jual agama,hate_speech,hate_speech,normal,normal
hai sayang orang ku kenal dekade ku laku mu sadar orang tulus cinta mu alas kau buta akan anggap serius mu,insult,normal,normal,normal
masak mie nyemek eh suami nyletuk produk israel,hate_speech,normal,normal,normal
alalala kutu onta bain wkwkwkw,insult,hate_speech,normal,hate_speech
b langsung ahlul fitnah allah teledor maha kuasa biar kota suci mek madinah urus orang sesat wahabi na udzubillah,normal,hate_speech,hate_speech,hate_speech
anjing bela israel negeri buka mata hati telinga mu,harassment,normal,normal,normal
menteri zionis usir warga gaza akibat bombardir israel nakba,hate_speech,normal,normal,normal
pilih gp md satu pasang cela mencle berhianat partai naif bangsa g pilih gp md bangsa buta hati mmilih pasang hasil penghianatan,insult,hate_speech,hate_speech,normal
ganjar tolak israel bukti gunting lipat agama dagang,insult,normal,normal,normal
kau canda alat bantumenjadi gayataupekosa sakit potong wajah u parang,harassment,normal,normal,normal
nama rezim suka ndan atur langgar,hate_speech,normal,normal,normal
kristen minoritas gagal terima nyata hobi keluh,insult,normal,normal,normal
kadrun dukung si abud jihad palestin tempur tentara yahudi,threat,hate_speech,hate_speech,hate_speech
result china sah bonus rb min depo rb angka balik bayar prize bayar www kostoto co,normal,normal,threat,normal
depan partai licik depan naik harga bbm listrik pajak bpjs beras butuh pokok depan dlm membudidayakan kknnya depan ngibulin rakyat indonesia depan kader byx korupsi d indonesia depan mndatangkn tka china indonesia d pekerjkan d usaha indonesia tutup lapang kerja anak bangsa indonesia depan rampas tanah rakyat indonesia depan menzolimi rakyat indonesia mf depan pihak rakyat indonesia ap d pilih dn partainy cilik hya simbol aj nyata fakta cilik pd periode slama thn tindas sejahtera makmur,insult,normal,hate_speech,hate_speech
duduk israel serang gereja gereja yerusalem serang umat kristen pukul seret tangkap biar orang kristen indonesia gagal paham sebar,threat,normal,normal,normal
anjir mati listrik pulau nama euy,insult,normal,hate_speech,normal
blg israel palestine perang otak gapernah dipake,insult,normal,normal,normal
congor ngga sesuai isi hati n silaturahmi alumni tuju panjang umur nhahahaha n n xf x f x x panjang umur panjang kuasa n n xf x f x x munafik,hate_speech,hate_speech,insult,hate_speech
gibran ciduk pandu orang debat cawapres,normal,normal,insult,normal
iya babi cif wkw,insult,normal,normal,normal
utang bank asing bli saham freeport g bayar utang freeport sita loe ngecap beli salah g beli salah loe ap sederhana g kakean gaya utang ad aj ud tumpuk trus mu nambah rakyat bahan pokok murah barang,normal,hate_speech,hate_speech,normal
klo berani israel hancur masjid al aqsa berat israel perang negara islam konflict agama tanah ambil paksa israel intimidasi bunuh warga palestina,normal,normal,threat,normal
zionis bom rumah keluarga adwan rafah,normal,normal,hate_speech,normal
asyari usman dukung boneka jokowi elit politik sinting,hate_speech,normal,insult,normal
isi rungkat gila game china babi anjing,hate_speech,normal,normal,normal
israel buka kiamat nama,insult,normal,normal,normal
dikit dikit nang takut orgil dah,insult,normal,normal,normal
lagu jiketi orang cina pojok halaman sekolah anak beijing,normal,normal,hate_speech,normal
hamas terima kasih china rudal hahahaha ngakak drun,insult,normal,normal,normal
happy family pasang artis vincent zhao istri zhang putra vincent zhao aktor kungfu ganti jet li tokoh guru fei hung film once a upon a time in china happy family pasang artis vincent zhao istri zhang putra vincent zhao aktor kungfu ganti jet li tokoh guru fei hung film once a upon a time in china,threat,normal,normal,normal
pantes rohingya betah kasih si gblg asli takut indonesia nnti kuasa gatau malu,normal,normal,hate_speech,hate_speech
jijik ni hahahahahaahahha kau kena nor hahahahahaahabababba kau karipap kat dapur tepi queen,normal,normal,hate_speech,normal
kemenag urus teroris islam orang sperti gus mus buang islam,hate_speech,normal,normal,normal
emis suka anggap profesional amp kelas,normal,normal,hate_speech,normal
nasehat jajah israel gaza salah,normal,normal,hate_speech,normal
diri bloon dia peka amsyong inner left right join otak cenut cenut bom sebentar ledak tolong tolong kuat suka ngecodein dicodein pstmt param println rs teman xf x f x d x xf x f x x,insult,normal,normal,normal
wemby gila gila tai kali blok untun,harassment,normal,normal,normal
titik nadir manusia jalur gaza tindas sudah israel palestina konflik palestina israel kunjung solusi masalah tel ratus juta korban jiwa,hate_speech,normal,normal,normal
indonesia besok tgl november aja nolak coldplay hrz ayo lupa share luas luasanya anti lgbt,hate_speech,normal,normal,normal
wuih paham jawa timur ndak nasehat gubernur mas mburuh pabrik eman potensi mas,normal,normal,hate_speech,normal
guess balas dendam bunuh daesh,normal,hate_speech,hate_speech,hate_speech
gubernur ahok eks trus bayi debora hmm rasakeenn,hate_speech,normal,normal,hate_speech
ngentottt emg gay gay gym gin gangguuuu kontllll elah,hate_speech,normal,normal,normal
jdi wowo presiden tv one undang slalu pentol kampret gembel warnet hahaa,hate_speech,hate_speech,insult,insult
lunatsarsky pikir komunis kenal xe x x csingkirkan cinta perlu benci ajar benci kuasa dunia xe x x d,hate_speech,hate_speech,normal,normal
angkat senjata bro ganti ungsi incar ketemu jalan tebas bakar ungsi rakyat sepakat,threat,normal,normal,normal
sebeeel bilang nyokapnya sakit tau pergi acara party orang gila yak kayak doain emaknya sakit,normal,hate_speech,hate_speech,normal
anjing zionis pesek indonesia ken label turun bangsa pilih jdi sok an bela zionis zionis bilang yahudi,insult,hate_speech,hate_speech,hate_speech
prabowo bilang upah minimum buruh keliru gibran cawapres cacat hukum anak bem tomo kanjuruhan ganjar pranowo rs indonesia rukayah karina we love you giselle buang bodoh ning ning jumat bomg halal,normal,insult,insult,insult
news p uara surabaya fm istimewa polisi tahu laku colok mata siswi sd gresik buta polres gresik naik status siswi sd buta colok tusuk bakso duga kakak kelas tahap sidi naik status polisi periksa tujuh saksi masuk tahap sidi akp aldhino prima wirdhan kasatreskrim polres gresik konfirmasi senin aldhino bilang sangka kepala sekolah sidik sita cctv sdn anti jadi perkara cctv sita dvr analisa labfor polda jatim tusuk bakso temu berita polisi lidi siswi salah sd negeri gresik buta colok tusuk bakso teman tolak palak ipda ekwan hudin kanit reskrim polsek anti sebut unit lindung perempuan anak ppa polres gresik dalam benar sah siswi kelas sdn gresik alami buta mata colok tusuk bakso siswa duga korban tolak palak simak lengkap download aplikasi suara surabaya mobile app store google play,threat,normal,normal,normal
ajar efek jera biar otak amp mulut bloon ngaku pinter,insult,hate_speech,hate_speech,hate_speech
paham birokrat asn suka presiden sulit tambah hasil korupsi pungli takut kpk saber pungli jokowi asn be,normal,normal,hate_speech,hate_speech
orang percaya menteri minimal percaya bawah sepenuh masyarakat pikir covid seliwer nikel masuk kerja lihat tka china kereta cepat kerja tka china investasi kaca kerja tka china dll depan mata lihat usir rakyat saudara mari sabar persuasif saudara rempang solusi depan represif kemarin nulis kait tanah mahzab bangun,insult,normal,hate_speech,normal
,insult,normal,normal,normal
sesat klaim mogok makan ungsi rohingya aceh tinggal enak,hate_speech,normal,normal,normal
fatwa mui haram beli produk dukung israel flash tirto  t p s majelis ulama indonesia mui keluar fatwa haram dukung israel tindak agresi palestina mui wajib umat islam dukung palestina juang merdeka ketua mui bidang fatwa asrorun niam sholeh fatwa registrasi nomor hukum dukung palestina dukung dukung agresi israel langsung langsung beli produk produsen nyata dukung agresi israel hukum haram asrorun niam terang tulis jumat bentuk nyata haram dukung israel asrorun umat islam harus hindar transaksi guna produk israel afiliasi negara sebut produk asal afiliasi israel milik kait zionisme jajah palestina,threat,normal,normal,normal
lucu cakap pasang orang kasih kasmaran kotak amal tampang kuli ngatain sakit jiwa ahahha kau muka lapet pacar kau didiagnosa gila dokter ngatain kau kau doi nikahin berani taruh,insult,hate_speech,hate_speech,normal
tai tai tai tumpu emas permata cleopatra aceh rohingya mas,hate_speech,normal,normal,normal
home asia pasifik eropa amerika timur af israel sumpah serang gaza lawan dunia muhaimin minggu november wib tel aviv pimpin tugas arah perang israel gaza palestina sabtu sumpah lanjut serang militer tuju kalah hamas henti israel diri lawan dunia konferensi pers perdana menteri benjamin netanyahu menteri tahan yoav gallant benny gantz anggota kabinet perang tolak kritik internasional tingkat rugi sipil akibat perang israel gaza desak israel henti macron bbc,threat,normal,normal,normal
wahabi tahu wahabi suka kafir kelompok suka kafir tanggung sahabat istri nabi kafir kelompok nama wahabi tahu wahabi haus darah sukamenumpahkan darah kaum muslimin kelompok suka bunuh meng halal darah kaum muslimin suriah kelompok nama wahabi tahu wahabi suka bohong kelompok suka dusta anggap salah ibadah taqiyah dusta kelompok nama wahabi tahu wahabi meng halal kawin kontrak kelompok ibadah nikah mut ah nikah kontrak jam kelompok nama wahabi tahu wahabi agama tahayul kelompok imam muncul zaman bongkar kubur sahabat abu bakar umar bin khattab radhiyallahu anhum istri nabi aisyah radhiyallahu anha hukum adil kelompok nama wahabi tahu wahabi antek amerika kelompok bantu pasu tar tar ambil alih iraq masa lampau bantu pasu amerika hancur iraq masa kelompok nama wahabi tahu wahabi suka tolak kitab ulama kelompok tolak shahih bukhari muslim anti pati abu hurairah kelompok nama wahabi tahu wahabi dajjal kuasa arab saudi allah ta ala janji jaga mek madinah jaga malaikat dajjal pasuk kawasan kecuali mek madinah masuk akal kelompok hasil tipu daya malaikat kenal zakir wahabi beliau back to the quran and otentik hadist beliau wahabi ikut salah mazhab beliau ikut imam shahih hadistnya cermat telusur ulang lontar isu wahabi hindar fitnah fitnah kaum muslimin kalimat wahabi kalimat terorist lontar kelompok orang alat fitnah sayang makan telaah berfikir sayang orang dengar orang truncated,normal,hate_speech,hate_speech,hate_speech
bosen gaya monoton atu sampe gaya jual citra pasang wajah melas rakyat sj xe x xa,normal,hate_speech,hate_speech,normal
cawe cawe lurah gila kuasa,insult,normal,normal,normal
angkat senjata yaman target sasar israel tanah palestina duduk tempur banjir al aqsa flash,threat,normal,normal,normal
anies cak imin kreatif isu lgbt nyerang prabowo,normal,normal,hate_speech,normal
swat sfc selamat monyet proboscis url url,normal,hate_speech,insult,insult
om jot olang cina a,normal,hate_speech,hate_speech,normal
bisu tuli bisu buta misi intai pergi buruk niger neeed basegenal fuck off pribadi,hate_speech,normal,normal,normal
mabuk pil pcc,hate_speech,harassment,harassment,insult
burik,hate_speech,insult,normal,normal
ohh iya pan otak dh kropos makan blatung onta xf x f x x xf x f x x,threat,hate_speech,normal,normal
siti goblok hidup indon sedekah bising malaysia makmur kaya raya,hate_speech,normal,normal,normal
terus suara lantang palestine siar dunia dadak buta tuli biadab zionis israel,hate_speech,normal,insult,normal
dengar skin bank skin bank jawapannya zionis laknatullah simpan kulit kulit orang dah tinggal rawat tentera tentera tentera cedera perlu kulit manusia rawat luka tu kulit orang palestin tinggal tawan terus boikot product orang kejam iblis laknatullah posting skin bank bank kulit manus a,insult,normal,normal,hate_speech
aneh anak didik ortunya terima gitu mah didik wkwk pas jaman ku sma sekolah katolik jadul anak belagu ortunya sekolah situ guru pd jiper marah guru,normal,insult,harassment,normal
suka video url a way out kolaborasi idiot kabur penjara,normal,normal,insult,insult
smp ne skr dipukili joko kristanto,hate_speech,normal,normal,normal
kelompok hasil kapital gatot gua duga mrk ketiban momenum bowo kelompok cikeas jokowi,hate_speech,normal,normal,hate_speech
emak hijab sebenernya dukung palestina ato israel,hate_speech,normal,normal,normal
ah gila gila orang nyet ken ngomong kasar w inget w bunting,insult,insult,normal,normal
masjid al ansari jenin bombardir ni israel yahudi laknatullah n korban anak wanita lansia trus tambah n islam msh enak tidur,insult,normal,normal,normal
gongsaketi syiah mmbantah sahabat contoh sahabat bilang baik bidah d bantah sunah bidah,insult,hate_speech,normal,normal
suara narasi bela pki,hate_speech,normal,normal,normal
gibran cawapres cacat hukum bumerang pasang prabowo gibran ayo pikir logis masuk logika,insult,normal,normal,normal
pakai jubah kecuali pahlawan,insult,normal,normal,normal
even ustaz serban jubah putih drive celaka golong golong babi anak anak,hate_speech,normal,normal,normal
miris cowo tiga anj anj anj anj anj cowo loh sanggup mulut ngerumpi gbisa diam kaya congor bebek sampe film habis anjiiirr kesal ubun ubun dah tahan dlm hati enak ikut emosi apalag,harassment,hate_speech,hate_speech,normal
israel play victim jijik and jengkel,harassment,normal,normal,normal
balik masbro israel bantu us inggris rebut tanah palestine palestine kalah lha negara menang perang dunia lawan sporadis diitung sekian taun ribu jiwa palestine ambil,insult,normal,normal,normal
benarbenar naksir kebab ganggu sheppards pie walkover,insult,harassment,harassment,harassment
rakyat umar bin khatthab rempang usir tinggal pabrik investor china komunis betapa zalim muslim melayu rempang usir betapa adil umar bin khatthab bela rakyat gusur gubernur mesir,insult,hate_speech,hate_speech,hate_speech
gila kantor kerja abis abis istirahat,harassment,normal,normal,normal
israel ambil sempat bombardir gaza,hate_speech,normal,normal,normal
pemimpindarimasjid pimpin ajak jalan syariat islam sungguh sungguh jatuh pimpin non muslim,hate_speech,normal,normal,normal
trus ngaku ustad bilang jancuk mata picek napa bilangin,threat,hate_speech,insult,threat
kat serius tolak mkr,insult,normal,normal,normal
ciri khas orang nusantara benci ras tionghoa xf x f x x,hate_speech,hate_speech,normal,normal
cawapres cacat hukum akibat ambisi langgeng kuasa halal,insult,normal,normal,normal
israel amerika serikat cabang asia lucu teknologi ala amerika serikat orang rada rada polisi nembak mati warga wilayah hamas hamas nenteng senjata pas masuk,hate_speech,normal,normal,normal
assalamu alaikum warahmatullahi wabarakatuh islam nu muhammadiyah persis hti ikhwanul muslimin jamaah tabligh islam islam orang salafy sekte alir jama ah tabligh ahmadiyah naqsabandiyah ldii dll organisasi massa nu muhammadiyah persis ikhwanul muslimin hizbut tahrir dll diri salafy allah rasul ad art salafy qur an sunnah paham sahabat wallahu a lam ustadz subhan bawazier   ,hate_speech,hate_speech,normal,normal
kadrun percaya klo yaman cina gudang komunis,normal,hate_speech,hate_speech,hate_speech
bawa gugel ah tai del,insult,normal,hate_speech,hate_speech
israel definisi kontol kasih nyawa,hate_speech,hate_speech,insult,insult
kristen ortodox agama keri sholat pake jilbab tampil orang,hate_speech,normal,normal,normal
kan cari abu janda orang israel,normal,normal,threat,normal
pimpin ngecopros bawah nderomos jancuk,hate_speech,insult,insult,insult
marah tindas kerja bicara a row letus dewan beds pusat cbc kerja serikat gmb a,normal,normal,harassment,normal
lapor khusus pbb rezim israel terap hak bela dasar hukum internasional israel jahat manusia,hate_speech,normal,normal,normal
kaum bani cabul bohong n nbahkan makan bohong pulang donatur xf x f x x xf x f x x xf x f x x n nrasakaah azab allah xf x f xa xa xf x f,harassment,hate_speech,hate_speech,hate_speech
sang gubernur sibuk jalan sang wagub sibuk ngganti presiden njadi yaaaa,hate_speech,normal,normal,normal
cowo gila bola anjing atur jadwal pergi nribun,harassment,normal,normal,normal
lupa joan rivers bajing istimewa rengek kurang hak cerita lelucon tindas,normal,harassment,harassment,harassment
maskapai asing batal terbang israel situasi tingkat tajam zona konflik palestina israel sebab batal jadwal ulang terbang maskapai terbang global,threat,normal,normal,normal
tpnpb opm percaya orang china orang asli papua juang tpnpb opm kerjasama deng china,hate_speech,normal,normal,normal
orang tionghoa mandat terus pimpin penghiantan cari selamat komunitas tionghoa anies lanjut jejak pimpin indonesia,insult,normal,normal,normal
agel perek gausah,harassment,insult,insult,harassment
feminazi tumblr,harassment,harassment,insult,harassment
yaman habib komunis yahudi prof sumanto al qurtubi,normal,normal,hate_speech,normal
bajing rampok rakyat sj hakim url,insult,hate_speech,hate_speech,hate_speech
mikir semakinhari salah rezim tampak n npiye iki,normal,hate_speech,hate_speech,hate_speech
jablay fwb beda tau jablay pakai nfwb mana and not all about sex thing duh,normal,insult,insult,insult
hamas henti serang ruang truk truk angkut manusia eh israel henti invasi sibuk rudal perang atur bro humanity first bawa bawa rakyat sipil,normal,normal,hate_speech,hate_speech
emak jual nbajingan nanak lacur kau,harassment,hate_speech,normal,normal
bener asing gila,harassment,normal,normal,normal
menit tanyarl otomatis fikir indonesia merdeka ada musyawarah mufakat zizi xiao nggak habis pikir hamas luncur roket roket israel jadi anak anak palestina korban serang israel m reply salimafillah xiao tomo perang sekutu kota surabaya hancur lebur nas bandung jadi laut api sultan hb ix serang oemoem maret nurani juang jajah reply m si zizi ngiranya indonesia merdeka hom pim pa,insult,normal,normal,normal
mba nanya ko grogi y ganjar santai aseng indonesia bawa pasu tank senjata nuklir ko bahaya tki juta china jepang korea dll bahaya bahaya spt mba provokator anti,hate_speech,normal,normal,normal
tulah kening yahudi mesti ramai orang benci u,hate_speech,normal,normal,normal
nahan nahan ngga nang grgr liat motaz nang ngga kuat allah zionis biadab laknatullah,hate_speech,normal,normal,normal
cebonger junjung tembak tiarap habitat bisu jamaah,threat,normal,normal,normal
fatwa mui haram hukum beli produk pro israel frix majelis ulama indonesia mui keluar fatwa beli produk produsen nyata dukung agresi israel palestina hukum haram mui imbau umat islam maksimal hindar transaksi produk israel afiliasi israel dukung jajah ketua mui bidang fatwa asrorun niam sholeh fatwa bentuk komitmen dukung juang merdeka bangsa palestina lawan agresi israel upaya punah manusia what do you think suara,threat,normal,normal,normal
gosah kangen ama gua klo gitu edan,threat,insult,insult,insult
jijik aplikasi gay,insult,normal,normal,normal
sadar ngelakuin langkah biar besok persekusi genocide kaum lgbt,insult,normal,normal,normal
prabowo korban khianat cak imin gus dur jepang vina politik identitas malming hasto nik zeus chinese taipei maroko hokky turkmenistan guna germany speed speed lula rempang first lady,normal,normal,hate_speech,normal
orang gila jajan takoyaki habis k pacar,threat,normal,normal,normal
hak salah lindung n npanji pesan n n xe x x c dev moga cowo deketin brengsek sakit xe x x c n n xe x x c dev xe x x c,insult,normal,normal,normal
kuat super saiyan jin blue ku bumihanguskan israel kame kameha langsung ludes negara zionis,threat,normal,normal,normal
biadab perempuan iblis dya,hate_speech,insult,insult,insult
sayah mah orang bodo agama kaya kleaan pinter sayah ajar biar orang rugi,normal,hate_speech,insult,insult
tanah rempang deal dg cina sri mulyani teken uang rakyat proyek cina pulau jawa proyek cina bangga kang ngibul,insult,normal,normal,normal
sad yaa fitnah dajjal zaman zaman ajah dunia ajah buta kezholiman,normal,normal,insult,normal
tmbh songong bencong halu g beritain opo min,harassment,hate_speech,normal,normal
ganjar ketua kpk anies baswedan sri mulyani odgj goblok bot fuji bu sus nyesel gemoy muda satu panas puas olla hoax inka puan young k,harassment,normal,normal,normal
ngabisa brengsek,hate_speech,hate_speech,insult,insult
negara islam satu nuklir negara israel biar cepat hancur musnah,threat,normal,hate_speech,hate_speech
dasar cebong hih n xf x f x xab xf x f x xa,insult,hate_speech,hate_speech,hate_speech
bodo mak bahagia,insult,normal,hate_speech,insult
kne jaga hati pimpin kafir harbi kau ka,normal,hate_speech,hate_speech,hate_speech
idiot asli tua ajg ngambek an cowok tai,normal,insult,insult,hate_speech
bangga t gede bilang bayar utang pas dibilangin nyerang rezim kemarin ngapain trus kudu piye jum xf x f x xb xf x f x xb,normal,hate_speech,hate_speech,hate_speech
tidur menit dorong wajar cover lagu sinting,insult,normal,normal,normal
koalisi masyarakat sipil kawal milu demokratis sebut calon gibran cawapres damping prabowo bilang cacat hukum cacat etika maju gibran cawapres milik legitimasi hukum kuat gibran cawapres ilegal,insult,normal,normal,normal
survei median persen ganti presiden persen jokowi periode,normal,hate_speech,hate_speech,hate_speech
temen onoh chat balesnya ok doang susu kntl manis,hate_speech,normal,insult,normal
tegas ganjar pranowo bukti israel negara biadab kadrun kemari cibir bungkam,insult,normal,normal,normal
fokus n lari hutang coba cek apbn n alokasi menteri kemenkeu debat hutang jgn anonim bloon xf x f xa xa xf x f xa xa,hate_speech,insult,insult,hate_speech
perut onta,normal,normal,hate_speech,hate_speech
gibran patut duga cawapres produk putus cacat hukum gibran cawapres ilegal,normal,normal,insult,normal
miris si israel genosid hitler nge genocid wkwkwk negara orang aneh ngaku ngaku victim si hitler dihidupin,hate_speech,hate_speech,normal,normal
sesuai penting jokowi dukung ganggu penting sikat,hate_speech,normal,normal,normal
pake hijab biar kristen,insult,normal,normal,normal
zu zarry israel bom anak anak kepala anak anak gaza ledak pecah tusuk serpih tertib bangun anak anak hidup mata melotot takut tangan tutup kuping perut lapar tenggorok haus dingin pray for humanity anak anak,hate_speech,normal,normal,normal
lol tweet promosi milik cerca dalam,insult,normal,normal,normal
gara gara orang kafeer yahudi gimana coba pake hp apasih emang hadeh ntar carrefour ubah nama indomaret,normal,insult,insult,insult
maenin hati aku ngacak ngacak asa aku resan deui goblog balatak lt,insult,hate_speech,hate_speech,hate_speech
klo indonesia dukung israel coba suruh baca buka uud orang indonesia sungguh merdeka hak bangsa jajah dunia hapus,normal,normal,hate_speech,normal
that photo sumpah ngomong speechless israel nazi abad,insult,normal,normal,normal
tema costum hellowen rem abis israel jahat iblis benci konten kreator israel ngolok warga palestina konten dibales konten gokil israel pake costum hellowen duh sereeemmm tema costum hellowen rem abis israel jahat iblis benci konten kreator israel ngolok warga palestina konten dibales konten gokil israel pake costum hellowen duh sereeemmm,hate_speech,normal,normal,normal
dana israel teroris siap puasa minus,normal,normal,insult,normal
sedih asia australia n new zealand jepang urut china drop china phillipines,threat,normal,normal,normal
kau propaganda murni orang bodoh,harassment,hate_speech,hate_speech,hate_speech
nang bahas konflik palestina felicya angelista duga pro israel konflik palestina israel sita perhati orang kecuali aktris felicya baca,threat,normal,normal,normal
gatau muka bego gmn pake jilbab temen first impression kristen,normal,hate_speech,hate_speech,normal
gila op gord epic ranked musuh modal maju aowkkw modar sia,normal,hate_speech,hate_speech,normal
the doll my samoyed cattawin its bigger onesss close my eyes im brokee but this is cutee kmr shippingnya cina rban murah boneka an segedee gt brp cobaa,threat,normal,normal,normal
knp pelangi milik lgbt pelangi suka anak anak,hate_speech,normal,normal,normal
bah otak onta bener sedeng ulama mu bicara ekonomi muslim jgn ulang onta somplak tu gmn kuat ekonomi muslim gtu,threat,hate_speech,hate_speech,hate_speech
liat akhir ludah tengkorak asli zionis israel asli kecut,normal,hate_speech,hate_speech,hate_speech
banteng ngeri sarang komunis,hate_speech,normal,normal,normal
orang indoneisia jabat tingggi nkri salam bahasa orang arab bahasa indonesia rendah,hate_speech,normal,insult,normal
          diam benar syaithon akhros setan bisu jenis manusia orang kebathilan setan bicara,normal,normal,insult,hate_speech
serbu tka china polisi selundup senpi hmmm xf x f x x yaaa url,hate_speech,normal,normal,normal
pribumi asli cm wan aibon imigran yaman,normal,hate_speech,hate_speech,hate_speech
coba bisikin anis biar china d usir nkri stop infor barang china biar masyarakat nkri hidup nyaman tentram sejahtera,hate_speech,normal,normal,normal
maaf twiter kali dbuat orang bego,insult,hate_speech,hate_speech,hate_speech
nilai keburu buat salah buta mata hati moga pk ganjar pk mahfud presiden wapres ri  aamiin yaa robbal aalamiin yaa mujiibassaailiin,insult,normal,normal,normal
ilc sukses undang orang gila ahok kalah ampe lupa potong kuping gila gila gila gila gila beneran xf x f x x,threat,normal,normal,normal
allah lindung saudara saudara palestina bantu allah hancur zionis laknatullah hancur hancur allah allah lindung saudara saudara palestina bantu allah hancur zionis laknatullah hancur hancur allah,normal,normal,threat,normal
china kasih karpet merah saudara bangsa injak zolimnya binasa,harassment,normal,hate_speech,normal
sampe segitunya ma hestek,normal,hate_speech,hate_speech,hate_speech
orang orang kafir harbi syiah laknatullah islam ane ikut manhaj salaf untung depan musuh orang kafir syiah laknatullah salafy rela sudi sahabat mulia isteri nabi shalallahu alaihi wasallam hina kafir harap muslim salafy musuh kafir harbi syiah salafy singgung marah marah marah amal kelompok kritisi sahabat isteri nabi kafir syiah pikirin,normal,hate_speech,hate_speech,hate_speech
tindas vintage onmyblacktieshit,normal,normal,harassment,normal
bandel kakek xf x f xa xa nuser n nurl,insult,insult,normal,normal
metr tv hd kondisi ekonomi israel puruk akibat perang sumber foto ap pasar israel alami turun minggu besar indeks saham acu israel turun persen mata uang israel shekel hilang nilai persen merosot tingkat rendah bank israel suntik usd miliar imbang bank sentral israel mangkas kira tumbuh ekonomi persen persen sektor israel lemah sektor energi uang konsumen derita rugi digit kerja tutup gas alam tamar akibat hilang dapat israel usd juta bank sentral israel jual valuta asing valas nila usd miliar mata uang shekel dekat level rendah delapan download play store app store,normal,normal,threat,normal
israel definisi orang gatau terima kasih,insult,normal,normal,normal
capek bener badan gweh abis nenangin orang surup jam anying gila iblis samlekom badan cabut cabut jam cok cok tenan,harassment,normal,normal,normal
pecun kelas teri xf x f x x url,harassment,insult,insult,insult
batas lgbt terima sebar masyarakat mari jaga nilai nilai agama moralitas bangun,hate_speech,normal,normal,normal
pimpin oposisi israel benny gantz gambar tempur gaza sakit air mata alir tentara divisi givati jatuh pimpin oposisi israel benny gantz gambar tempur gaza sakit air mata alir tentara divisi givati jatuh,threat,normal,normal,normal
wkwk jijik ma,normal,normal,insult,normal
saksi jurnalis televisi silah nilai betapa keji biadab zionis israel balas baik rakyat palestina terima ungsi tanah palestina biadab orang orang,normal,normal,insult,normal
liat tukang pijat bf kayk doyan kontol kayk,insult,hate_speech,hate_speech,insult
baju item disalahin korban nyuruh dorong orang tua situ suruh dorong dikatain bangsad bocah dorong murni salah,insult,hate_speech,hate_speech,hate_speech
agama hindu budha yahudi kristen islam wahabi sunni syiah nu muhammadiyah hti isis katolik protestan ortodoks saksi jehuwa tengkar perang kafir jelek butuh kitab agama muslim non butuh manusia manusia damai orang,hate_speech,hate_speech,normal,normal
pls dukung israel unfoll block i stand with palestine till forever,normal,normal,hate_speech,normal
korup oom pdip skill pendam n nurl,hate_speech,insult,normal,normal
inget pipis onta liat wajah,threat,hate_speech,hate_speech,hate_speech
borak daily rakyat palestin larang tadah air hujan hak milik israel sumber miller asa dunia milik air hujan klaim milik warga palestine tadah air doa mimin moga air hujan lebat henti hujan israhell,hate_speech,normal,normal,normal
heidi argumen orang ganggu kerja hidung operasi eyelid insightsbs,normal,normal,harassment,harassment
ton beras racun impor cina,normal,normal,hate_speech,normal
muhammad tidur kauli mayat fatimah hadits bunyi                                         arti tepat sungguh nabi muhammad pakai baju fatimah pakai surge baring kubur selamat himpitan kubur sungguh cipta abu thalib sumber kitab ad dailami no hadits   banding tuhan yahshua bangkit mayat lazarus kubur seru suara nyaring lazarus keluar orang tinggal ikat kaki tangan kain kafan muka bungkus sapu tangan yeshua lepas biar pergi orang orang yahudi maria saksi yeshua buat percaya,hate_speech,normal,normal,normal
buat tahi lalat hapus pensil hidung ganggu sma,harassment,normal,normal,harassment
celana lgbt,normal,normal,hate_speech,normal
twitter cewek bo bnyak kualitas foto nyata beda harga mahal service bagus nini gua bilang alam bo puluh kali puluh perek dpt hasil muas n,insult,normal,normal,normal
pikir gaza jajah satu lawan  w x jeddahs   jeddah   negeri muslim tunduk yahudi pikir gaza jajah lawan negeri muslim tunduk yahudi,insult,normal,normal,normal
hadap tarung sengit tentara israel mundur gaza utara ratus tentara tewas luka,normal,normal,hate_speech,normal
klu pilih pilpres th kardus gembok ngumumin,threat,hate_speech,normal,normal
wow odgj orang ganggu jiwa pidato tampak setan alas si odgj tukang matiin mix slogan pdip partai cilik partai licik anjing guys wajah odgj bulet kek tukang baso,insult,normal,normal,normal
benda bodo baca ni korang golong bijak pandai bingai ni gitu ibu xe x xa,insult,normal,normal,insult
wakakaka seleb twitter gay buruk dating app gawai jambret jalan thamrin wkwkwk sedih thank you sharing waspada ngakak lihat timpa wakakakaka,hate_speech,normal,normal,normal
sekian kali td pas makan roemah demang nyeletuk mbak anak anak anak anak china mbak kaya arab trs w jwb ponakan mamah ni kakak oh putih wkwkwk ngakak,insult,normal,normal,normal
aswaja tipu umat akidah copy paste syiah jahmiyah maksa ahlus sunnah,insult,hate_speech,hate_speech,normal
xe x x cmeeting xe x x d gt aja n nsi bloon diem n n xe x x coh xe x x d n nsama divisi diem n n xe x x cada kerja xe x x d n n xe x x clagi bikin set,hate_speech,insult,normal,normal
